Date,Operating Reserve,Temperature,Holiday
20200218,4249.0,14.585231368762406,0
20200219,3564.0,17.353177746811102,0
20200220,3132.0,18.170928003967163,0
20200221,3138.0,19.378838163862486,0
20200222,3674.0,19.385667063185117,2
20200223,3739.0,20.028138169127974,2
20200224,3010.0,21.88247773477217,0
20200225,3124.0,23.094114284329933,0
20200226,3167.0,23.148315853395953,0
20200227,4253.0,20.847562567224585,0
20200228,3286.0,21.745918678120212,2
20200229,2806.0,23.022278885961146,2
20200301,3321.0,22.11093224107827,2
20200302,3295.0,19.32009409773389,0
20200303,3106.0,21.23401997276284,0
20200304,3758.0,19.79392161814136,0
20200305,3518.0,16.545274069893544,0
20200306,3179.0,20.07140011801615,0
20200307,3712.0,22.479998950610465,2
20200308,3379.0,23.45204245318351,2
20200309,3209.0,23.993153870418066,0
20200310,3931.0,19.86598961265042,0
20200311,3255.0,19.063873535335258,0
20200312,3002.0,21.51241517434575,0
20200313,3098.0,21.46405860611899,0
20200314,3826.0,17.421452229044284,2
20200315,3493.0,18.372742236556874,2
20200316,4820.0,20.135071512992283,0
20200317,4143.0,21.19473500009517,0
20200318,4153.0,21.359855714500785,0
20200319,3085.0,21.657331710178635,0
20200320,3700.0,22.624736725593166,0
20200321,3020.0,24.182462482160997,2
20200322,3086.0,25.378132582272016,2
20200323,3771.0,23.173423233509073,0
20200324,4125.0,23.01111356051072,0
20200325,3577.0,24.515386732799218,0
20200326,3187.0,26.441202747497098,0
20200327,3264.0,25.648579684016326,0
20200328,4066.0,20.551030954148477,2
20200329,3489.0,19.25796497164918,2
20200330,3508.0,21.472672919990043,0
20200331,3322.0,22.550642092905463,0
20200401,4095.0,20.379389760825706,0
20200402,4108.0,20.209230116416727,2
20200403,3749.0,21.054442279743768,2
20200404,4414.0,19.82245162734484,2
20200405,4249.0,18.892826742697352,2
20200406,4054.0,18.821129025719063,0
20200407,4037.0,18.394725321979653,0
20200408,3364.0,19.945760348847244,0
20200409,3678.0,21.50623606221582,0
20200410,4650.0,23.285891291401754,0
20200411,3179.0,21.625264238510297,2
20200412,2809.0,17.6114784304099,2
20200413,3328.0,18.007703174298285,0
20200414,3563.0,20.549622120884234,0
20200415,3497.0,21.872801343515256,0
20200416,3144.0,22.885372677901188,0
20200417,3609.0,23.9396342006062,0
20200418,3489.0,25.33921979062145,2
20200419,3028.0,26.087222230050415,2
20200420,4091.0,25.250214407957657,0
20200421,4376.0,23.937965016146258,0
20200422,4031.0,21.3387811606273,0
20200423,3948.0,19.80752435782675,0
20200424,3948.0,18.550606278933916,0
20200425,3166.0,21.594044059280993,2
20200426,3120.0,22.64013885932717,2
20200427,3810.0,23.512431551744296,0
20200428,4687.0,24.663789695414994,0
20200429,3346.0,25.51523972556177,0
20200430,4864.0,25.901777491595613,0
20200501,3512.0,26.680335435078877,0
20200502,3414.0,27.35995578349598,2
20200503,2967.0,27.725534298722266,2
20200504,3476.0,28.67285634685377,0
20200505,3400.0,28.76983953115896,0
20200506,3426.0,27.762937631899863,0
20200507,3736.0,27.374402527780397,0
20200508,3414.0,28.646246627800934,0
20200509,3823.0,29.63434666169288,2
20200510,3015.0,29.165657435746827,2
20200511,3350.0,27.397093098279967,0
20200512,3766.0,25.241381570148786,0
20200513,4199.0,27.07333140265435,0
20200514,3382.0,28.402905189818377,0
20200515,3622.0,28.99680467066102,0
20200516,3947.0,28.056454561433046,2
20200517,4241.0,28.46831156313555,2
20200518,4085.0,26.770845931569916,0
20200519,4626.0,24.247186882062216,0
20200520,4951.0,25.06794967206886,0
20200521,3983.0,25.13687220487248,0
20200522,3675.0,24.45595247983479,0
20200523,4061.0,24.621010607857347,2
20200524,4289.0,26.732964742983615,2
20200525,3942.0,27.50352408243925,0
20200526,3563.0,27.69073403871098,0
20200527,4932.0,25.048636609381617,0
20200528,5261.0,24.87910311927023,0
20200529,4098.0,26.493478229431407,0
20200530,4186.0,28.492992803338467,2
20200531,3430.0,29.198878957799213,2
20200601,3633.0,29.279273821204292,0
20200602,4071.0,29.173475202393742,0
20200603,4163.0,29.853807633919534,0
20200604,3754.0,30.11397255988504,0
20200605,3682.0,30.170482693230433,0
20200606,4240.0,29.68126603594524,2
20200607,4535.0,27.44645041826022,2
20200608,4580.0,26.41924650864764,0
20200609,4515.0,27.126416521371333,0
20200610,4367.0,29.046033115965084,0
20200611,3986.0,29.518066649955543,0
20200612,3586.0,30.095035281242577,0
20200613,3764.0,30.37964969795133,2
20200614,4572.0,28.828764502649925,2
20200615,5033.0,29.69948705369735,0
20200616,4022.0,30.187451556891126,0
20200617,3975.0,30.493307601659147,0
